rule_id,symbol,biz_date,status,handled_by,handled_at,handling_note
DQ-CA-001,0005.HK,2026-08-13,explained,arinwu,2026-08-16 18:28:12.552979,"同一根因。但汇丰仅最近一次出错,更早八次正确,疑为新派息入库临时状态,2026-08-30 复检"
DQ-CA-001,9988.HK,2025-06-11,explained,arinwu,2026-08-16 18:28:11.382570,"数据源用美元派息金额(0.25 USD)扣减港币价格,应扣 1.96 HKD。复权价一律以自算 self_adj 为准"
DQ-CA-001,9988.HK,2026-06-10,explained,arinwu,2026-08-16 18:28:12.016603,"同 2025-06-11,同一根因,倍数同为 7.847"
DQ-CA-004,9988.HK,2026-08-14,explained,arinwu,2026-08-16 18:29:44.219290,"DQ-CA-001 的影响范围。445 日复权价偏低最多 2.201%,历史涨跌幅一律改用 self_adj 计算"
DQ-PRC-005,HK,2026-02-16,ignored,arinwu,2026-08-16 18:28:13.137594,"香港半日市(农历新年前一日),港交所只有早市,数据源不返回成交量。属市场规则非数据错误"
